评论名称,评分星级,评论内容,评论时间
萌面超人打小怪兽,s-star5,2015年8月从家乡报着对南方江南水乡的向往，孤身奔赴美丽的天堂-杭州，至此已经工作、生活了第4个年头，周末、节假日有空有兴致的时候，会跟同事或自己去杭州有名的、相对没那么有名的地方四处逛逛。2018年2月4日，一个明媚的冬日，跟明月一起逛西湖，西湖其实已经去过不止3、5次，但是西湖连带周边其实是很大的，至今还没有完全走完，这次去的是苏东坡纪念馆-苏堤-曲院风荷这条线，因为是冬天，只有残荷和夕阳，也是别有一番景致。,2019-04-16 14:06:14
按Home键就能回家,s-star5,看惯了大漠黄土风沙 也心念江南流水人家有幸在“最美人间四月天”的时节漫步杭州 欣赏烟柳画桥，实属幸事之一心中念念难忘的灵隐寺，因济公的故事而显得更加神奇，香火萦绕的大殿恢宏肃穆 今终有缘见之“最爱湖东行不足，绿杨阴里白沙堤”，想象过无数次的景色，漫步白堤，细细体味白居易刺杭三年对西湖的痴爱之情阳春艳阳天，泛舟湖中，只能感受“春水碧于天”，却无缘于“画船听雨眠”“未能抛得杭州去，一半勾留是此湖”,2019-04-06 01:27:49
被诈骗后只剩玩,s-star5,这样游玩西湖。杭州城站（火车站）乘地铁至龙翔站，向北西湖方向游玩六公园，延湖边至断桥，行走白堤至平湖秋月，中山公园游玩，基本全线步行。后延白堤至岳飞庙游玩，过马路游玩曲院风荷，然后至苏堤，行步2公里左右至花港公园，回出来住船至三潭印月小小岛游玩，后乘船至湖滨，回至龙翔地铁站，这样玩足足一天时间，基本上是西湖全景绕圈玩了一大圈。地铁站至断桥1公里，白堤全长2公里，苏堤长2.5公里。湖滨至地铁站6百米左右，雷锋塔交通捅挤不便浪费拖延较长时间一日游可放弃，看下图断桥处全多是人群。出游自备水就可以了，白堤，苏堤行游中景区不供应开水。,2019-03-28 23:38:29
梓元,s-star5,西湖，位于浙江省杭州市西部，是中国主要的观赏性淡水湖泊，也是中国首批国家重点风景名胜区。西湖三面环山，面积约6.39平方千米，东西宽约2.8千米，南北长约3.2千米，绕湖一周近15千米。湖中被孤山、白堤、苏堤、杨公堤分隔，按面积大小分别为外西湖、西里湖、北里湖、小南湖及岳湖等五片水面，苏堤、白堤越过湖面，小瀛洲、湖心亭、阮公墩三个人工小岛鼎立于外西湖湖心，夕照山的雷峰塔与宝石山的保俶塔隔湖相映，由此形成了“一山、二塔、三岛、三堤、五湖”的基本格局。2011年6月24日，杭州西湖列入世界遗产名录。,2019-03-27 19:48:06
秋风,s-star5,赞杭州美女馨馨细语口吐莲，樱桃小嘴桃花面。一袭凤凰彩绸衣，断桥折柳霞满天。人杰地灵谓苏杭，只羡苏轼不慕仙。西子故里皆美女，人约黄昏在明年。~这次是平生第四次游杭城，影响最深刻的是杭州人的热情未减，问路于杭州大姐，她竟然亲自步行把我们送到车站，在灵隐寺，一个小姑娘挽着老伴上台阶，周六游览遇一女大学生，主动给我们讲杭州的景点和风土人情，颇为感动。时代变了，但感觉杭州人民更热情了，这是一次温暖之旅！云南昆明……诗人：戈飞咏西湖柳昨夜似曾绿染湖今朝柔枝写满诗千般娇美集一身风情万种西湖柳云南昆明~诗人戈飞己亥年春,2019-03-25 07:38:44
小丁—阿拉丁旅游,s-star5,杭州西湖是国内十大热门赏樱地之首，以太子湾公园内的绯红色山樱、杭州植物园内的紫红色福建山樱花、淡粉色河津樱最为漂亮，除此之外，还有白塔公园的樱花、观赏草区的油菜花、水生植物区的玉兰花，花港公园的红叶李，长桥公园的结香花等争艳百花。,2019-03-18 15:29:49
文墨,s-star5,欲把西湖比西子，淡妆浓摸总相宜。非常大的一个湖，五月中旬去时，已经比较湿热，但晚上在湖边逛逛，吃吃喝喝很是不错，各种人文古迹，自然风情，相比其它城市湖——武汉东湖、济南大明湖，都要优秀很多很多。西湖适合慢慢品，在茶座上喝喝茶、听听曲；在僻静处，看看水中野鸭。,2019-03-12 19:16:28
🐳 小宇,s-star5,很多人去西湖都只去游湖了，说实话湖我觉得一般，但是我住的地方在青芝坞，也就是西湖西边的山上，早上我骑单车一路到西湖，风景真的是美啊，反而到了湖上这种美感失去不少，强烈推荐大家花一天时间在后山上好好转一转，就是植物园灵隐寺杨公提那边,2019-03-08 00:07:55
走自己的路,s-star5,西湖是收入到世界文化遗产名录，此处自古就是著名景区，现在不收费，当然坐船游西湖是需要花钱的，景区内有有雷峰塔，虽然现在的是重新修复的，但是有白娘子和许仙的爱情故事，这个地方还是非常吸引人前去游览，夜晚户内三潭映月比较著名，去西湖必做船。,2019-03-02 19:48:51
雨昊,s-star5,位于杭州市西部，是中国主要的观赏性淡水湖泊。西湖三面环山，面积约6.39平方千米，绕湖一周近15千米。湖中被孤山、白堤、苏堤、杨公堤分隔，苏堤、白堤越过湖面，小瀛洲、湖心亭、阮公墩三个人工小岛鼎立于外西湖湖心，夕照山的雷峰塔与宝石山的保俶塔隔湖相映，由此形成了“一山、二塔、三岛、三堤、五湖”的基本格局。2011年6月24日，杭州西湖列入世界遗产名录。,2019-02-26 11:45:47
ChrissieXQ,s-star5,上一次来西湖，下雨。这一次来西湖，下雪。虽然没有看到断桥残雪的模样，但湖面结冰，白雪还覆盖在枝头的景色也让人连连惊叹。上一次来没有登上湖心岛，这一次突发奇想近距离接触三潭印月并且登上了湖心岛，避开了大批的游客，看到大面积结冰的湖面，超值。西湖有十景，如果想要全部玩完，大概需要一天的时间，天气不太冷的话建议租个单车一边骑一边玩，在西湖边还隐藏着一些不为人知的角落。奈何这次碰上融雪，连骑车的勇气都被寒风吹走，全程靠徒步，但是就错过了一些景点，不过因为我都玩所以没有什么遗憾。如果可以的话，建议住在西湖景区附近靠近青芝坞这块，到西湖真的非常方便而且环境也很好。,2019-01-28 00:08:30
伯爵与少女的酒宴,s-star5,清代《冷庐杂识》中说：“天下西湖三十六，其中最好是杭州。”天下间有三十六个西湖，其中最美丽最好的只有杭州的西湖，在西湖周围有新旧三十景，就是玩个三天三夜都觉得没玩够。而且一年四境西湖的景色也各有不同。作为本地人，除了假期人满为患的情况下，平常会经常去湖边散步游玩，骑骑自行车等，每次去都觉得这里的景色永远不会看腻。西湖四季有四季的美，早晚有早晚的美。晚上凉快的时候，在这里和朋友散散步，聊聊天，很有诗意，心情也会很舒畅的。,2019-01-04 19:45:20
鸡米妮爱吃糯米糕,s-star5,去西湖的时候是个坏天气。又小雨又下雾，整个西湖湖面看不出原本的透亮，湖水和天际是一样的颜色，湖中飘荡的轻舟就是唯一能够点缀的深色系。湖内的芦苇，和天边的远山，和一点灯光，就是这一天西湖的全部。但是即便这样不够格的条件。我仍觉得这里是美的。其实也不是没有绿色的，只要有一个合适的滤镜。,2019-01-01 15:51:33
浅浅,s-star5,接天莲叶无穷碧，可荷花大多是花苞，仅有一两朵开在绿毯中。西湖真的很淡，群山也都隐在了天边，断桥上人依旧很多，盼着属于自己的那份缘。在深圳车水马龙，仿佛慢下来就会被超车，被剩下来。而西湖边上，让你觉得慢下来享受当下，才是生活。,2018-12-31 23:08:48
秋忆南,s-star5,湖面非常清澈。和蓝天白云相映成趣。白天，西湖的哪个区域都是很多人。偶尔有旅行团来过，特别热闹。这里的白云很厚，比我在 西塘 、 乌镇 见到的白云都觉得厚。偶尔会有船从湖面驶过。原本，我特别害怕坐船，但实在太爱西湖了，鼓起勇气，和聪聪一起坐了游船。,2018-12-24 13:59:29
柳柳June,s-star4,西湖太大了，有新老西路十景，我俩也没太多计划，就是赶着走，西湖很美，但没有很惊艳，西湖的美，并不仅仅是自然风光，更多的在于文化、韵味，每一个故事，每一段传说，让西湖充满神秘色彩，欣赏西湖，不只在于眼，也在于心。欲把西湖比西子，浓妆淡抹总相宜，虽然阴天，依然不影响西湖的美，西湖这次先来的断桥残雪，之后到平湖秋月，再到西泠印社，最后曲院风荷，西湖来了两天，差不多也把西湖十景逛到了，最喜欢的是西泠印社和曲院风荷。,2018-12-23 16:43:19
平凡,s-star5,我们沿着浣纱路、平海路步行到西湖。西湖位于浙江省杭州市区西面，是中国大陆首批国家重点风景名胜区和中国十大风景名胜之一。三面环山，面积约6.39公里，东西宽约2.8公里，南北长约3.2公里，绕湖一周近15公里。孤山、白堤、苏堤、杨公堤将湖面分成为、里湖、外湖、岳湖、西里湖、小南湖五个部分。苏堤、白堤越过湖面，小瀛洲、湖心亭、阮公墩三个小岛鼎立于外西湖湖心，夕照山的雷峰塔与宝石山的保俶塔隔湖相映，由此形成了“一山、二塔、三岛、三堤、五湖”的美景，令人陶醉,2018-12-15 19:31:35
有李行遍天下,s-star4,西湖的水我的泪，我情愿和你化作一团火焰，西湖简直是每一位中国人都耳濡目染的景点了。西湖是中国主要的观赏性淡水湖泊，也是中国首批国家重点风景名胜区。西湖三面环山，面积约6.39平方千米，东西宽约2.8千米，南北长约3.2千米，绕湖一周近15千米。湖中被孤山、白堤、苏堤、杨公堤分隔，按面积大小分别为外西湖、西里湖、北里湖、小南湖及岳湖等五片水面，苏堤、白堤越过湖面，小瀛洲、湖心亭、阮公墩三个人工小岛鼎立于外西湖湖心，夕照山的雷峰塔与宝石山的保俶塔隔湖相映，由此形成了“一山、二塔、三岛、三堤、五湖”的基本格局。2011年6月24日，杭州西湖列入世界遗产名录。,2018-11-16 13:29:08
懒人,s-star5,走近琉璃般湖面我心荡漾是如潮的人群是夺目的夏装是炫丽的光影将西湖的夜点亮我倘佯在西湖堤岸看着游人的笑靥听着不同方言的赞赏西湖的夜不比白天差喜欢西湖不论是白天还是黑夜不论是春秋还是冬夏她的美无时不在,2018-11-09 11:11:58
水杉,s-star5,水光潋滟晴方好，山色空蒙雨亦奇。欲把西湖比西子，淡妆浓抹总相宜。大多数人和我一样，是先从小学语文课本中认识西湖后，才认识杭州；是先从电视剧里认识雷峰塔后，才认识杭州。作为杭州的标签，西湖的名气是当地所有风景名胜中名头最响亮的。清早起来，湖面的薄雾还未散去，远处山丘的轮廓依稀可见，线条像用墨笔勾勒；近处一座单孔桥卧在水面，垂柳将丝绦垂下遮掩着桥洞，像是挡住水帘洞洞口的瀑布。船夫背对着我们摇桨，身上的橙色救生衣很显眼，扁舟慢慢靠近，像船上燃着火焰。游览西湖本该乘坐这种工具，但湖风瑟瑟，只能改乘包裹严实的现代动力游轮。船离岸向着湖心驶去，慢慢吟起白居易的《钱塘湖春行》：孤山寺北贾亭西，水面初平云脚低。几处早莺争暖树，谁家新燕啄春泥。乱花渐欲迷人眼，浅草才能没马蹄。最爱湖东行不足，绿杨阴里白沙堤。与一千两百年前相比，景象似乎没有太多改变，绿色葱茏的堤岸，一平如镜的湖面，只是冬日没有早莺新燕出没，树顶的黑鸟在争抢着太阳能照到的位置取暖，好不热闹。乱花已过时节，但多彩的树叶填补上了色彩的空缺。,2019-12-13 15:03:53
Willy,s-star5,“水光潋滟晴方好，山色空蒙雨亦奇。欲把西湖比西子，淡妆浓抹总相宜。”在杭州旅行的这几天，愈发感觉苏轼的这首诗完美诠释了西湖之美。其实小时候曾来过杭州，也看到过西湖，只是因为时间太久，早已没有印象。再次来到西湖，第一眼便被其美景所惊艳，想来如果西湖真的化身为女子，应该就是西施这样的江南美人。几天的杭州西湖之行，既赶上了晴天，也赶上了雨天；既看到了城市景观，也欣赏了湖光山色；既参观了岳王庙、雷峰塔，也游览过三潭印月、曲院风荷。西湖之美，与千年前苏东坡诗中所言并无二致。西湖提供的景区服务也非常好，基本上在任一区域都可以轻松找到公共卫生间，规划得非常合理。,2019-09-25 10:38:05
Deeeeee,s-star3,3、 杭州 就一个休闲城市，推荐指数❤❤❤。①人太多了，本人不喜欢人多太嘈杂的地方，整条马路都是人，整个西湖人挤人，但它的公共绿化做得挺好，到处都是绿化，特别西湖附近，适合散步。②商业经济发展也挺好的，到处都是高楼大厦，可以媲美北上广深了。③吃的也一般，这一带附近的饮食口味是酸甜口，吃不惯，而且餐饮物价偏高，旅游城市嘛，通病，人多价贵不好吃。④而且还有一点，不知是因为中秋节假日，人多，导致服务员心烦，一个个态度不友好急躁（个别现象）。但公交车司机挺好的，到斑马线主动让行人先走，挺好的。,2019-09-19 10:14:12
筱筱蛋坑,s-star3,名声太大加上天气不好队西湖有一丢丢失望，或者是一个人不适合逛公园，长堤走到崩溃，省博分馆不大，也是没做好攻略。,2019-08-28 15:02:48
海德薇格糖,s-star5,酒店离西湖不远，出门绕过酒店大楼，再过个马路就是西湖景区了。蓦然眼前开阔起来，大西湖到了。只见波光粼粼的湖面在重峦叠嶂远景的映衬下铺展开来，山色有些朦胧，裹着薄薄的雾霭，彷如仙气缭绕；湖面上悠然泛着三三两两的小船，正应了欧阳修的“人在舟中便是仙”；湖畔杨柳依依，轻柔地随风摇曳，显得楚楚动人。只道是：天容水色西湖好，云物俱鲜。鸥鹭闲眠，应惯寻常听管弦。所谓“断桥残雪”应是冬天特有的景象，不过时值盛夏，远观断桥，湖面开阔，倒也倍觉心旷神怡。西湖边非常热，于是带娃搭乘了复古版的电瓶车，开始为时70分钟的环湖乘车游。复古电瓶车环湖游一周是每人80元，车身有木质雕花，古色古香，座位上有凉席，观赏性和舒适性都比另外一种40元一圈的好很多。只不过中途不能下车，下车车票就作废了，如果只坐区间，则是20元一站，方向是单向顺时针绕湖。游览车速度适中，视野开阔。感受着夏天的风，看着车外美景掠过，吃着自备的小番茄，娃又露出了甜甜的笑容。盛夏带娃乘车游不失为省心又省力的选择，美中不足的是没法好好拍照，只能见缝插针捕风捉影啦。如果时间不赶的话，也可以坐到“雷峰塔”站，逛逛太子湾公园，再搭游览车回去或者沿湖逛回去。很多人到雷峰塔站下车了，所以有一段车上只有我们三人，包车的感觉还是挺舒服的~接近断桥的时候，人又多了起来，不过娃也差不多快睡着了，抱着他小憩了一会儿，便回到了起点，结束西湖之行。,2019-08-15 11:43:54
乱七没瞎跑,s-star5,欲把西湖比西子，浓妆淡妆总相宜。上有天堂下有苏杭，如果不是天热，真的非常适合慢慢游览，一步一景，各有各的特色，流量往返。,2019-07-20 19:22:46
我是一片云,s-star5,游湖从断桥开始，先是“断桥残雪”经过白堤来到孤山的岛上，经过“ 平湖秋月”，沿途有浙江省博物馆，西泠印社等。接着往前走，先不上苏堤，沿着岳湖边，从印象西湖的表演地来到“曲院风荷”，再从玉带桥回到苏堤上赏“苏堤春晓”，苏堤大概长3公里左右，走下来也不觉得很长，慢慢走很惬意！到了苏堤尽头就是“花港观鱼”了，这个景区还是挺热闹的，好多的旅游团也会在这里放慢速度细细讲解。来西湖不得不看的景色就是“三潭映月”，这个在1元人民币后面出现的景色需要坐船近距离观看，位于西湖中心的小瀛洲也是需要坐船登岛的。西湖游船有2种，一种直接登岛游小瀛洲，一种是手摇船不登岛可以近距离观看到三潭映月，大家根据自己情况做选择，也可以两种都坐！从小瀛洲返程可以到西湖周围任何的停靠点，可以根据自己的路线安排！我还是回到了出发的花港观鱼。,2019-07-19 08:42:51
小颇兔,s-star5,上有天堂下有苏杭，江南的水让人流连忘返，每次坐在水边，看着水面波光粼粼，心里十分平静，仿佛自身已经融入山水之中。三月的西湖，美如画；烟雨中的西湖，更有一番独特的韵味。,2019-07-08 11:22:08
晚秋的霜,s-star5,很久很久以前去的西湖，那时候是春天，还有点小雨，当时有种很幽静的感觉。住的是在西湖边一个花港海航度假酒店里，完全感觉不到城市的氛围，很轻松。后面还有一次是八九月去的西湖，那时候就比较热，闲逛的时候会有种养老的感觉。主要游玩的是湖和湖边，其他地点倒是没怎么去，感觉有点遗憾。,2019-07-02 14:46:13
位移,s-star4,去的那一天天气不是特别的好，阴天，但是风景还是很美，而且也不那么的热。花了大半天时间，一个人在西湖边走，想着把西湖十景走完，结果发现西湖沿途的风景都有点接近，到后面都有点眼疲劳了，所以建议如果时间不够的游客们，没必要把十景走完，挑几个走走就可以了，再把多余的时间安排到别的地方去……,2019-06-27 22:42:14
wujianswi,s-star5,多年向往的杭州终于成行，专门留出小半天时间漫步西湖。细雨微风，眼底青绿，一人一伞，清静少人。走过苏堤、孤山、白堤、断桥，眼前远山、湖水、垂柳、新荷，未见水光敛滟，但见山色空蒙。不暇的景致、清新的空气竟让我这老烟枪在湖边行走的几小时里忘却了抽烟的快意。初夏雨湖，心旷神怡。,2019-06-26 20:28:08
阿土,s-star5,杭州 西湖，景区总面积49平方千米，汇水面积为21.22平方千米，湖面面积为6.38平方千米。“西湖十景”是指西湖及其周边的十处特色风景。最著名的以南宋苏堤春晓、断桥残雪、曲院风荷、花港观鱼、柳浪闻莺、雷峰夕照、三潭印月、 平湖 秋月、 双峰 插云、 南屏 晚钟闻名。,2019-06-23 14:54:19
